"I would like to congratulate Paul Rinaldi and everyone with the National Air Traffic Controllers Association for a successful convention in San Diego, 0, 23
I am honored to have earned the endorsement of this proud organizations 19000 members, 23, 37
"Every day hard-working and highly-skilled air traffic controllers keep our country moving growing and thriving, 37, 52
Almost 900 million passengers travel by air in the United States each year and NATCAs members ensure we get to our destination safely—helping us take business trips meet our families and explore the country and the world, 52, 89
And through it all this organization has fought for good benefits and wages for all workers and helped build our countrys middle-class, 89, 111
"As President I will stand with NATCA and organized labor like I have my entire career, 111, 127
My top priority will be building an economy that works for everyone not just those at the top, 127, 145
We will make the biggest investment in American infrastructure since the end of World War II—including in the National Airspace System, 145, 166
We will defend the right to organize and bargain collectively and fight against right-to-work legislation that is wrong for workers and wrong for America, 166, 190
And we will help workers retire with the dignity and security they have earned, 190, 204
"If I am elected American workers will always have a seat at the table and a champion in the White House—because when unions are strong families are strong and America is strong." , 204, 236


