I want to lift up and use as examples business leaders like that not somebody who stiffs contractors who doesnt pay dishwashers and painters and plumbers and glass installers and architects and marble installers and so many else but somebody who has the right attitude that were stronger together in business just like we are in government and America." "And the other thing we have to do more of is to make sure that we help deal with some of the stresses that American families are facing, 1439, 1526
It is hard to balance family and work isnt it? I think we can do better, 1526, 1542
I want to see us have paid family leave earned sick days affordable childcare and affordable college that includes tuition-free and debt-free college." "Now after the primary was over – and Senator Sanders and I ran a tough primary but you know what? I was really proud, 1542, 1589
We ran a campaign based on issues not insults, 1589, 1598
He and I got together and we said okay what are we going to do to make sure that more young people can actually get a college education? Because right now its way beyond what a lot of families can afford, 1598, 1639
And if you go into debt you come out of it with so much debt that remains a burden on you." "So the other day Senator Sanders and I were up in New Hampshire together and we were rolling out our plan, 1639, 1681
And its pretty simple, 1681, 1685
You can go to my website but let me just tell you briefly, 1685, 1698
If you are in a family that makes less than $125000 you will not pay tuition to go to a public college or university, 1698, 1722
And if you make more than that you will pay what you can afford but you will not have to borrow money because it will be debt-free for you to go, 1722, 1753
And we put together a calculator on my website, 1753, 1762
You can go to hillaryclinton.com/ calculator and you can see how much you will save how much your child or your grandchild would save under this plan." "But I also believe a four-year college degree which is an important part of getting an education to get ahead should not leave you mired in debt, 1762, 1816
So we are going to help you refinance your debt get the interest rates down and if youre willing to do public service national service were going to forgive your debt over time." But not everyone has to go for a four-year degree, 1816, 1859
I want every person not just young people but people who are looking for a different opportunity or may have to retrain – I want to everybody to have a chance for a good solid job, 1859, 1895
I think we made a mistake when we took vocational education out of high school, 1895, 1910
We need to put technical education back into high school, 1910, 1920
"And we need to make sure that community colleges are free so that young people starting in high school can take courses at community college to get the training they need for a good job, 1920, 1955
And I want to see business and labor unions working together for real apprenticeship programs – not the kind that lead to being told Youre fired the kind that lead to being told Youre hired." "Now Im excited about this, 1955, 1995
I really am, 1995, 1998
I am confident and optimistic about our country, 1998, 2006
We never get anything done if all we do is get down in the mouth and feel bad and complain and try to blame somebody for something else, 2006, 2034
Thats not who we are as Americans, 2034, 2041
We need to lift ourselves up and we need to roll up our sleeves to get to work to make sure that future is what it should be for our country." "And while were doing that were going to make sure that our countrys safe and that America provides strong and steady leadership around the world, 2041, 2097
Sometimes when I listen to my opponent it kind of seems he doesnt know who our friends are versus our adversaries, 2097, 2118
He has this weird fascination with dictators, 2118, 2125
Hes kind of signed up for the Vladimir Putin wish list, 2125, 2136
He doesnt care whether NATO falls apart and he is really cavalier about other countries getting nuclear weapons, 2136, 2154
He said he doesnt care, 2154, 2159
Let Japan South Korea even Saudi Arabia get a nuclear weapon, 2159, 2170
Whoa! Thats the kind of dangerous reckless talk that people around the world pay attention to." "As I told him in the debate – he actually said Well we may or may not defend our allies in Asia, 2170, 2208
Words matter, 2208, 2210
And Americas word matters, 2210, 2214
We have to be reliable and trustworthy, 2214, 2221
People have to count on us, 2221, 2227
And weve got a lot of work to do around the world, 2227, 2239
We need to work hard for peace and prosperity, 2239, 2248
We need to tackle climate change together." "Climate change is real, 2248, 2259
Florida knows that, 2259, 2262
My opponent thinks its a hoax created by the Chinese, 2262, 2272
And what that means is he would not be able to take advantage of the economic opportunities that climate change presents, 2272, 2293
You see some countrys going to be the clean energy superpower of the 21st Century, 2293, 2308
I think its going to be either China Germany or us, 2308, 2319
I want it to be us and it can be us if we make up our minds for that to happen, 2319, 2340
Lets deploy a half a billion more solar panels, 2340, 2349
Lets produce enough clean energy so that every home in America can be powered by it, 2349, 2365
Theres so much we can do together, 2365, 2372
And that means weve got to work with other countries and weve got to demonstrate that we support our allies whether theyre in Europe the Middle East with Israel or Asia that we stand with those who stand with us." And then finally one of the next priorities that I have if I am so fortunate enough as to be your president is to bring our country together, 2372, 2440
Ive got to tell you look disagreements political disagreements thats fine, 2440, 2451
Thats who we are, 2451, 2455
I dont know any two people in America who agree on everything politically with each other, 2455, 2471
And Ive known been fortunate enough to know a number of our more recent presidents, 2471, 2486
I didnt always agree with them either including my husband, 2486, 2496
But Ill tell you this: Republicans and Democrats alike I never doubt they were trying to put the countrys interests first, 2496, 2517
They were trying to bring people together not pit us against each other, 2517, 2530
And one of the things I will do from the very beginning the very first day of my administration..."  "Day one."  "...is to make them day one – youre right – is to make sure everybody in the country knows Im the president of every American every single per-son, 2530, 2579
"Now – so in order for me to do any of this anything thats in this book and making sure that its paid for by the wealthy and corporations who have to pay their fair share finally all of that depends upon whether we win in November, 2579, 2626
The stakes could not be higher, 2626, 2632
So here is what I am asking all of you, 2632, 2642
How many of you know you are registered to vote? So we need to get everybody to be registered at your current address by October 11th, 2642, 2668
If youve moved you may need to reregister, 2668, 2676
Heres how you can find out if you are registered, 2676, 2686
You can go to iwillvote.com iwillvote.com, 2686, 2692
You put in your name, 2692, 2697
You put in your address and make sure youre registered, 2697, 2707
If you need to get registered we have volunteers here, 2707, 2717
Right? And they will – they have – they have clipboards, 2717, 2728
Were kind of low-tech about it, 2728, 2734
They have clipboards, 2734, 2737
They can help you get registered right here and now or as I say you can go to iwillvote.com and check your registration, 2737, 2760
And remember you can vote by mail starting October 24th here in Broward, 2760, 2773
And the other thing you can do is convince everybody you know to make sure theyre registered and to help them know how to vote by mail so they could get their vote in without making any fuss or inconvenience." "So make no mistake, 2773, 2817
This election is going to be close, 2817, 2824
They always are, 2824, 2827
So every call you make every door you knock on every person you register could make the difference, 2827, 2845
So Im asking you to go ahead and text JOIN text JOIN J?O?I?N to 47246 to get involved or go to hillaryclinton.com, 2845, 2867
And you can volunteer and become involved, 2867, 2874
If we win Broward County by as big a margin as we should win it we win Florida." "And like I say Im not just excited about winning an election, 2874, 2904
Im excited about doing the work, 2904, 2910
Im excited about listening to Americans, 2910, 2916
Ill continue to travel our country, 2916, 2922
Ill be here in Florida so much youll get sick of me because I want to be a good partner for Florida, 2922, 2944
I mean Florida is already suffering from climate change and you have a governor who ordered the state government never to say the word or write the phrase, 2944, 2972
Thats kind of hard to believe, 2972, 2978
So theres a lot were going to do together: jobs rising incomes opportunities, 2978, 2991
And thats what gets me excited." So heres what I hope you will do, 2991, 3005
When you leave here if somebody says Where were you this afternoon? you say Oh I went to a rally for Hillary Clinton, 3005, 3028
If they say Oh thats great" get them registered, 3028, 3037
If they say Oh my gosh, 3037, 3043
How can you do that? if theyre seriously thinking about voting for my opponent stage an intervention really because remember remember friends dont let friends vote for Trump, 3043, 3071
And what we believe and what were going to prove on November 8th is love trumps hate, 3071, 3088
Thank you all so much." , 3088, 3093


