"Its time to reform our broken immigration system." This week in Arizona—a state that is home to some of the harshest anti-immigrant laws in the nation—Hillary once again pledged to make comprehensive immigration reform a top priority as president and to do everything possible to keep families together, 0, 48
"Lucia is a Guatemalan immigrant Hillary met during the Univision Democratic town hall earlier this month, 48, 64
Alongside her five children Lucia stood up on live TV and told her story, 64, 78
She explained that her husband had been deported three years prior—and her family hadnt seen him since." "Hillary promised shed do everything she could to ensure other families wouldnt have to endure the same heartbreak—and she was so moved by Lucias story that she talked about it in her primary night victory speech in Florida." "Lucias family is just one of countless families that have been devastated by deportation, 78, 147
An estimated 5.5 million children in the United States have at least one parent who is undocumented—and 4.5 million of those children are U.S, 147, 171
citizens." Hillary is committed to doing everything she can under the law to keep families together, 171, 187
That includes ending the three- and 10-year bar a law that forces many undocumented immigrants to either leave the country for a period of three or 10 years or keep their families intact and remain in the shadows, 187, 225


