,sentence,start,end
78,Spread the love that we have in this room to the people of our country,33142,33212
79,To beat the system you have to lift your voice pound the pavement and get out the vote,33490,33576
80,Visit our website to find out how you can help,33865,33911
81,You have 40 days until the election,34234,34269
82,You have 40 days to make every dream you ever dreamed for your country come true,34597,34677
83,Do Not Let This Chance Slip Away,35014,35046
84,You have one magnificent chance to deliver justice for every forgotten man woman and child in this nation,35384,35489
85,The arrogance of Washington D.C,35835,35866
86,will soon come face to face with the righteous verdict of the American voter,36222,36298
87,On November 8th we are going to show the whole world that America is Back – Bigger and Better and Stronger than ever before,36588,36711
88,Here is just some of the great things that will happen for your country: We are going to lower your taxes; eliminate every unnecessary regulation; repeal and replace job-killing Obamacare; make childcare more affordable; bring back our manufacturing jobs; keep Radical Islamic terrorists out of our country; save the 2nd amendment; support the men and women of law enforcement; and appoint Justices to the Supreme Court who will uphold and defend the Constitution of the United States,36854,37338
89,We will rebuild our roads bridges tunnels highways airports schools and hospitals,37518,37599
90,American cars will travel the roads American planes will soar in the skies and American ships will patrol the seas,37955,38069
91,American steel will send new skyscrapers into the clouds,38448,38504
92,American hands will rebuild this nation – and American energy harvested from American sources will power this nation,38861,38977
93,American workers will be hired to do the job,39333,39377
94,We will put new American steel into the spine of this country,39730,39791
95,I will fight for every neglected part of this nation – and I will fight to bring us all together as Americans,40096,40205
96,Imagine what our country could accomplish if we started working together as One People under One God saluting One American Flag,40490,40617
97,It is time to break with the bitter failures of the past and to embrace a new inclusive and prosperous American future,40917,41035
98,Once more we will have a government of by and for the people,41343,41403
99,We Will Make America Wealthy Again,41802,41836
100,We Will Make America Strong Again,42235,42268
101,We Will Make America Safe Again,42667,42698
102,And We Will Make America Great Again,43097,43133
103,Thank you and God Bless! ,43532,43556
